Logo,charity_name,fitting area (1 / 0),area_id,registered_charity_number,latest_income,latest_expenditure,charity_contact_email,charity_activities
https://thefairtradestore.co.uk/wp-content/uploads/2013/07/Traidcraft-Logo.png,THE TRAIDCRAFT EXCHANGE,1,1,1048752,3223652,4354330,hello@transform-trade.org,"Traidcraft Exchange trading as Transform Trade are a global community of farmers, workers, collectives, campaigners, donors and supporters, we work together for trade that values people over profit. We partner with people who are fighting for their communities and finding better ways to trade. Wherever possible, the people who are directly experiencing injustice in trade lead our work."
https://www.dentaid.org/wp-content/uploads/2023/01/Dentaid-Logo.jpg,DENTAID LIMITED,1,1,1075826,1131254,1067459,info@dentaid.org,"Dentaid works to reduce oral pain around the world through treatment, training, equipment donations and education in the United Kingdom and in more than 70 other countries by running oral health education programmes and volunteering experiences. Since 2015  Dentaid also provides emergency dentistry in the UK for those who cannot access an NHS dentist."
https://www.bracuk.net/wp-content/uploads/2020/10/brac-logo-big.png,BRAC UK,1,1,1115482,2337867,3460184,info@bracuk.net,"BRAC UK's objective is to alleviate and prevent poverty in Africa and Asia by mobilising resources to support micro-economic initiatives, education, agriculture, and health services. The empowermentof women and girls is a priority in all these interventions.  In partnership with BRAC International, BRAC UK empowers millions of women, men and children to achieve sustainable ways out of poverty"
https://www.cosaraf.org/wp-content/themes/cosaraftheme/assets/images/logo-stamp.svg,THE COSARAF CHARITABLE FOUNDATION,1,1,1118481,1933593,2453725,info@cosaraf.org,"The Foundation makes grants and donations to support projects in the UK and overseas, with a particular focus on Africa (especially East Africa) and South East Asia.  Trustees' focus is on: - promoting strong and cohesive communities;- enabling young people to realise their potential; and, - empowering women and girls"
https://images.squarespace-cdn.com/content/v1/5c0f8c647106995cf39a6d51/1548238489162-YYSDJ55WO6Y1D335IRD7/Exceed+Logo.png,EXCEED WORLDWIDE,1,1,1032476,2453176,2316182,david.wilson@exceed-worldwide.org,"Prosthetics and orthotics training schools in Cambodia, Indonesia, Philippines & Myanmar.Rehabilitation centres in Cambodia, Sri Lnaka, Myanmar, Philippines providing physical rehabilitation services. Community-based rehabilitation projects in Cambodia to enable disabled people to participate in education & employment.  Advocacy for disabled peoples rights."
https://sciencecouncil.org/web/wp-content/uploads/2015/11/IOM3-Logo-new-2020.jpg,"THE INSTITUTE OF MATERIALS, MINERALS & MINING",1,1,269275,3997000,3983000,directorate@iom3.org,"To promote the science, design, engineering and technology of materials, minerals and mining and their practical applications.To facilitate qualifications, professional recognition and development, and to deliver knowledge, information and networking services to a global membership and wider community."
https://media.licdn.com/dms/image/v2/C4E0BAQEAl8lT7z1AHg/company-logo_200_200/company-logo_200_200/0/1643822912258/ea_foundation_logo?e=2147483647&v=beta&t=ZVgowZXOsOpR0nkgxD7UJbmbeXkca8H3lI64Bb0s7hk,EA FOUNDATION,1,2,1194169,5063597,185078,info@ea-foundation.org.uk,"EA Foundation works to support the most marginalised communities on some of the most underserved  issues. We fund projects in education, poverty reduction, basic services and sustainable development worldwide. We are also committed to supporting emergency response work that addresses the suffering of communities affected by conflict, health or natural disasters and other emergencies."
https://assets.isu.pub/document-structure/230722214953-5bc6ccef5481a0e744f2fdab2068f1dc/v1/3971c39939e21aebd37e093c31b43660.jpeg,CISV INTERNATIONAL LIMITED,1,2,1073308,2413001,2397784,international@cisv.org,"CISV provides a range of unique, educational group activities, which develop cross-cultural understanding in children and youth from around the world.  By encouraging respect for cultural differences and the development of self-awareness, CISV empowers each participant to incorporate these values into their lives as they become global citizens and strive for a more peaceful world."
https://upload.wikimedia.org/wikipedia/commons/6/64/Computer_Aid_logo.png,COMPUTERAID INTERNATIONAL,1,2,1069256,1906379,1851215,info@computeraid.org,"Computer Aid International works with education, health and other non-profit organisations in developing countries to improve the effectiveness of their development interventions through IT. By providing low-cost equipment and software, and working with partners to provide training and support, we aim to reduce poverty through cost-effective, practical and locally relevant IT solutions."
https://buildaction.org/wp-content/uploads/2021/03/Global-Change-Data-Lab-1.png,GLOBAL CHANGE DATA LAB,1,2,1186433,1784746,1768490,info@ourworldindata.org,"Global Change Data Lab is an educational charity with a focus on large global problems and international development. The charity's flagship project is the web publication Our World in Data, where we focus on communicating data and research to make progress against the world's largest problems."
